UWI, Form, TVD, Porosity Int, Comment,,,,
102/12-03-078-21W5/0, CLLK D,912.6, , ,,,,
102/12-03-078-21W5/0, MNTN,922.1, , ,,,,
102/12-03-078-21W5/0, BLLY,934.6, , ,,,,
100/07-05-078-21W5/0, CLLK D,920.4, , ,,,,
100/07-05-078-21W5/0, MNTN,928.9, , ,,,,
100/07-05-078-21W5/0, BLLY,964, , ,,,,
100/15-09-078-21W5/0, CLLK D,900.5, , ,,,,
100/15-09-078-21W5/0, MNTN,910.5, , ,,,,
100/15-09-078-21W5/0, BLLY,935.1, , ,,,,
100/13-10-078-21W5/0, CLLK D,899.8, , ,,,,
100/13-10-078-21W5/0, MNTN,909.5, , ,,,,
100/13-10-078-21W5/0, BLLY,935.7, , ,,,,
100/05-15-078-21W5/0, CLLK D,899.4, , ,,,,
100/05-15-078-21W5/0, MNTN,909.4, , ,,,,
100/05-15-078-21W5/0, BLLY,937.3, , ,,,,
102/07-16-078-21W5/0, CLLK D,898.8, , ,,,,
102/07-16-078-21W5/0, MNTN,908.2, , ,,,,
100/11-25-078-21W5/0, CLLK D,890.8, , ,,,,
100/11-25-078-21W5/0, MNTN,900.1, , ,,,,
100/11-25-078-21W5/0, BLLY,909.3, , ,,,,
